Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
130600.035 01 1.065
130600.035 02 5.136
130600.035 03 -0.152
130600.116 01 1.065
130600.116 02 4.708
130600.116 03 -0.152
130600.196 01 1.065
130600.196 02 4.708
130600.196 03 0.000
130600.276 01 1.065
130600.276 02 5.136
130600.276 03 -0.152
130600.356 01 1.065
130600.357 02 4.280
130600.357 03 -0.152
130600.436 01 1.065
130600.436 02 5.136
130600.436 03 0.000
130600.517 01 1.065
130600.517 02 5.136
130600.517 03 0.000
130600.596 01 1.065
130600.596 02 4.708
130600.596 03 0.000
130600.676 01 1.065
130600.676 02 5.136
130600.676 03 0.000
130600.756 01 1.065
130600.757 02 4.708
130600.757 03 0.000
130600.837 01 1.065
130600.837 02 3.852
130600.837 03 0.000
130600.917 01 1.065
130600.917 02 4.708
130600.917 03 0.000
130600.997 01 1.065
130600.997 02 4.708
130600.997 03 0.000
130601.077 01 1.065
130601.077 02 4.708
130601.078 03 0.000
130601.156 01 1.065
130601.156 02 4.708
130601.156 03 0.000
130601.236 01 1.065
130601.236 02 4.708
130601.237 03 0.000
130601.317 01 1.065
130601.317 02 4.280
130601.317 03 0.000
130601.397 01 1.065
130601.397 02 4.280
130601.397 03 -0.152
130601.477 01 1.065
130601.477 02 4.280
130601.477 03 0.000
130601.557 01 1.065
130601.557 02 4.280
130601.557 03 0.000
130601.637 01 1.065
130601.638 02 4.280
130601.638 03 -0.152
130601.717 01 1.065
130601.718 02 3.852
130601.718 03 0.000
130601.798 01 1.065
130601.798 02 4.280
130601.798 03 0.000
130601.878 01 1.065
130601.878 02 4.280
130601.879 03 0.000
130601.959 01 1.065
130601.959 02 4.280
130601.959 03 0.000
130602.039 01 1.065
130602.039 02 4.708
130602.039 03 0.000
130602.119 01 1.065
130602.119 02 4.708
130602.119 03 0.000
130602.199 01 1.065
130602.200 02 4.280
130602.200 03 0.000
130602.280 01 1.065
130602.280 02 4.280
130602.280 03 -0.152
130602.360 01 1.065
130602.360 02 4.708
130602.360 03 0.000
130602.440 01 1.065
130602.440 02 4.280
130602.441 03 0.000
130602.519 01 1.065
130602.519 02 3.852
130602.519 03 0.000
130602.600 01 1.065
130602.600 02 3.852
130602.600 03 0.000
130602.680 01 1.065
130602.680 02 3.424
130602.680 03 0.000
130602.760 01 1.065
130602.760 02 4.280
130602.761 03 0.000
130602.841 01 1.065
130602.841 02 3.852
130602.841 03 0.000
130602.922 01 1.065
130602.922 02 3.852
130602.922 03 0.000
130603.001 01 1.065
130603.001 02 3.852
130603.001 03 0.000
130603.081 01 1.065
130603.081 02 3.852
130603.081 03 0.000
130603.162 01 1.065
130603.162 02 4.280
130603.162 03 0.000
130603.242 01 1.065
130603.242 02 3.852
130603.242 03 0.000
130603.322 01 1.065
130603.322 02 4.280
130603.322 03 0.000
130603.402 01 1.065
130603.402 02 4.280
130603.403 03 0.000
130603.483 01 1.065
130603.483 02 3.852
130603.483 03 0.000
130603.563 01 1.065
130603.563 02 3.852
130603.563 03 0.000
130603.644 01 1.065
130603.644 02 3.852
130603.644 03 0.000
130603.724 01 1.065
130603.724 02 3.852
130603.724 03 -0.152
130603.804 01 1.065
130603.804 02 4.280
130603.804 03 0.000
130603.885 01 1.065
130603.885 02 3.852
130603.885 03 0.000
130603.965 01 1.065
130603.965 02 3.852
130603.965 03 0.000
130604.045 01 1.065
130604.045 02 3.852
130604.045 03 -0.152
130604.125 01 1.065
130604.125 02 3.424
130604.125 03 -0.152
130604.205 01 1.065
130604.205 02 3.852
130604.205 03 -0.152
130604.285 01 1.065
130604.285 02 3.852
130604.285 03 0.000
130604.365 01 1.065
130604.365 02 4.280
130604.365 03 0.152
130604.445 01 1.065
130604.446 02 3.852
130604.446 03 0.000
130604.526 01 1.065
130604.526 02 3.852
130604.526 03 0.000
130604.606 01 1.065
130604.606 02 3.424
130604.606 03 0.000
130604.686 01 1.065
130604.686 02 3.852
130604.686 03 0.000
130604.767 01 1.065
130604.767 02 3.852
130604.767 03 0.000
130604.846 01 1.065
130604.846 02 3.852
130604.846 03 -0.152
130604.926 01 1.065
130604.926 02 3.424
130604.926 03 -0.152
130605.006 01 1.065
130605.006 02 3.424
130605.006 03 0.000
130605.086 01 1.065
130605.086 02 3.424
130605.087 03 -0.152
130605.167 01 1.065
130605.167 02 3.424
