Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
145600.074 01 0.825
145600.074 02 6.420
145600.074 03 0.304
145600.154 01 0.828
145600.154 02 5.992
145600.154 03 0.304
145600.235 01 0.825
145600.235 02 6.420
145600.235 03 0.304
145600.314 01 0.828
145600.314 02 6.420
145600.314 03 0.304
145600.394 01 0.828
145600.394 02 6.420
145600.394 03 0.304
145600.474 01 0.828
145600.474 02 6.420
145600.475 03 0.304
145600.555 01 0.828
145600.555 02 5.992
145600.555 03 0.304
145600.635 01 0.828
145600.635 02 5.992
145600.635 03 0.304
145600.715 01 0.828
145600.715 02 6.420
145600.715 03 0.304
145600.795 01 0.828
145600.796 02 6.420
145600.796 03 0.304
145600.875 01 0.828
145600.875 02 5.992
145600.875 03 0.304
145600.955 01 0.828
145600.955 02 5.992
145600.955 03 0.304
145601.036 01 0.828
145601.036 02 5.992
145601.036 03 0.304
145601.116 01 0.828
145601.117 02 6.420
145601.117 03 0.304
145601.197 01 0.828
145601.197 02 5.992
145601.197 03 0.304
145601.277 01 0.828
145601.277 02 6.420
145601.277 03 0.304
145601.357 01 0.828
145601.358 02 5.564
145601.358 03 0.304
145601.437 01 0.828
145601.437 02 5.992
145601.437 03 0.304
145601.517 01 0.828
145601.517 02 5.992
145601.517 03 0.304
145601.597 01 0.828
145601.597 02 5.992
145601.597 03 0.304
145601.678 01 0.828
145601.678 02 5.564
145601.678 03 0.304
145601.758 01 0.828
145601.758 02 5.992
145601.758 03 0.304
145601.838 01 0.828
145601.838 02 5.992
145601.839 03 0.304
145601.919 01 0.828
145601.919 02 5.564
145601.919 03 0.304
145601.999 01 0.825
145601.999 02 5.564
145601.999 03 0.304
145602.078 01 0.828
145602.079 02 5.992
145602.079 03 0.304
145602.159 01 0.828
145602.159 02 5.992
145602.159 03 0.304
145602.239 01 0.828
145602.239 02 5.136
145602.239 03 0.304
145602.320 01 0.828
145602.320 02 5.564
145602.320 03 0.304
145602.399 01 0.828
145602.400 02 5.992
145602.400 03 0.304
145602.479 01 0.828
145602.479 02 5.564
145602.479 03 0.304
145602.559 01 0.828
145602.559 02 5.564
145602.559 03 0.304
145602.638 01 0.828
145602.638 02 6.420
145602.638 03 0.304
145602.720 01 0.825
145602.720 02 5.564
145602.720 03 0.304
145602.800 01 0.828
145602.800 02 5.564
145602.800 03 0.304
145602.880 01 0.828
145602.880 02 5.992
145602.880 03 0.304
145602.960 01 0.828
145602.961 02 5.992
145602.961 03 0.304
145603.042 01 0.828
145603.042 02 5.564
145603.042 03 0.304
145603.122 01 0.828
145603.122 02 5.564
145603.122 03 0.304
145603.203 01 0.828
145603.203 02 5.992
145603.203 03 0.304
145603.283 01 0.828
145603.283 02 5.136
145603.283 03 0.304
145603.363 01 0.828
145603.364 02 5.992
145603.364 03 0.304
145603.443 01 0.828
145603.443 02 5.992
145603.444 03 0.304
145603.524 01 0.825
145603.524 02 5.564
145603.524 03 0.304
145603.604 01 0.828
145603.605 02 5.564
145603.605 03 0.304
145603.684 01 0.828
145603.684 02 5.564
145603.684 03 0.304
145603.765 01 0.828
145603.765 02 5.564
145603.765 03 0.304
145603.844 01 0.828
145603.844 02 5.564
145603.844 03 0.304
145603.924 01 0.828
145603.924 02 5.564
145603.924 03 0.304
145604.005 01 0.828
145604.005 02 5.564
145604.005 03 0.304
145604.084 01 0.828
145604.084 02 5.564
145604.084 03 0.304
145604.164 01 0.828
145604.165 02 5.136
145604.165 03 0.304
145604.245 01 0.828
145604.245 02 5.136
145604.245 03 0.304
145604.325 01 0.828
145604.326 02 4.708
145604.326 03 0.304
145604.406 01 0.828
145604.406 02 5.136
145604.406 03 0.304
145604.485 01 0.828
145604.486 02 5.564
145604.486 03 0.304
145604.566 01 0.828
145604.566 02 5.564
145604.566 03 0.304
145604.646 01 0.828
145604.646 02 5.564
145604.646 03 0.304
145604.727 01 0.828
145604.727 02 5.136
145604.727 03 0.304
145604.807 01 0.825
145604.807 02 5.136
145604.807 03 0.304
145604.888 01 0.828
145604.888 02 5.564
145604.888 03 0.304
145604.967 01 0.828
145604.967 02 5.136
145604.967 03 0.304
145605.047 01 0.828
145605.047 02 5.136
145605.047 03 0.304
145605.128 01 0.825
145605.128 02 5.564
145605.128 03 0.304
145605.208 01 0.828
145605.208 02 5.136
145605.208 03 0.304
145605.288 01 0.828
145605.288 02 5.564
145605.288 03 0.304
145605.369 01 0.828
145605.369 02 5.136
145605.369 03 0.304
145605.448 01 0.828
145605.449 02 5.136
145605.449 03 0.304
145605.529 01 0.828
145605.529 02 5.136
145605.529 03 0.304
145605.609 01 0.828
145605.610 02 4.708
145605.610 03 0.304
145605.689 01 0.828
145605.689 02 5.564
145605.690 03 0.304
145605.769 01 0.828
145605.769 02 5.136
145605.769 03 0.304
145605.850 01 0.828
145605.850 02 5.136
145605.850 03 0.304
145605.929 01 0.828
145605.929 02 4.708
145605.929 03 0.304
