Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
082800.067 01 1.092
082800.067 02 2.140
082800.067 03 -2.128
082800.147 01 1.089
082800.147 02 1.284
082800.147 03 -2.128
082800.228 01 1.089
082800.228 02 1.284
082800.228 03 -2.128
082800.308 01 1.089
082800.308 02 1.284
082800.308 03 -2.128
082800.388 01 1.089
082800.388 02 1.284
082800.388 03 -1.976
082800.469 01 1.092
082800.469 02 0.856
082800.469 03 -1.976
082800.549 01 1.089
082800.549 02 0.856
082800.549 03 -1.976
082800.629 01 1.092
082800.629 02 1.712
082800.629 03 -2.128
082800.709 01 1.089
082800.709 02 1.284
082800.709 03 -1.976
082800.791 01 1.089
082800.791 02 1.712
082800.791 03 -1.976
082800.871 01 1.089
082800.871 02 1.284
082800.871 03 -1.976
082800.951 01 1.089
082800.951 02 1.284
082800.951 03 -1.976
082801.031 01 1.089
082801.032 02 1.284
082801.032 03 -1.976
082801.111 01 1.089
082801.111 02 1.712
082801.111 03 -1.976
082801.191 01 1.089
082801.191 02 1.284
082801.191 03 -2.128
082801.271 01 1.089
082801.271 02 1.712
082801.271 03 -2.128
082801.351 01 1.089
082801.352 02 1.284
082801.352 03 -2.128
082801.432 01 1.092
082801.432 02 1.712
082801.432 03 -1.976
082801.512 01 1.089
082801.512 02 1.712
082801.512 03 -1.976
082801.592 01 1.089
082801.592 02 1.712
082801.592 03 -1.976
082801.672 01 1.089
082801.672 02 1.712
082801.672 03 -1.976
082801.752 01 1.089
082801.752 02 1.712
082801.752 03 -1.976
082801.833 01 1.089
082801.833 02 1.284
082801.833 03 -1.976
082801.912 01 1.089
082801.912 02 1.284
082801.912 03 -1.976
082801.992 01 1.089
082801.992 02 1.712
082801.993 03 -1.976
082802.072 01 1.092
082802.072 02 1.712
082802.072 03 -2.128
082802.152 01 1.089
082802.152 02 1.712
082802.152 03 -2.128
082802.232 01 1.089
082802.232 02 1.712
082802.232 03 -2.128
082802.312 01 1.092
082802.312 02 1.712
082802.313 03 -2.128
082802.392 01 1.089
082802.393 02 1.712
082802.393 03 -2.128
082802.474 01 1.092
082802.474 02 1.712
082802.474 03 -2.128
082802.554 01 1.092
082802.554 02 2.140
082802.554 03 -2.128
082802.634 01 1.092
082802.634 02 1.284
082802.634 03 -2.128
082802.714 01 1.089
082802.714 02 1.712
082802.714 03 -2.128
082802.795 01 1.089
082802.795 02 2.140
082802.795 03 -1.976
082802.875 01 1.089
082802.875 02 2.140
082802.875 03 -1.976
082802.955 01 1.092
082802.955 02 1.712
082802.956 03 -1.976
